"File","Name","Imports","Lines"
"src\presentation\components\procurement\StockMovement.tsx","StockMovement.tsx","0","739"
"src\presentation\components\procurement\PurchaseOrderManagement.tsx","PurchaseOrderManagement.tsx","0","632"
"src\presentation\components\procurement\SupplierEvaluation.tsx","SupplierEvaluation.tsx","0","859"
"src\presentation\components\projects\MilestoneCard.tsx","MilestoneCard.tsx","0","371"
"src\presentation\components\procurement\SupplierPerformanceReport.tsx","SupplierPerformanceReport.tsx","0","406"
"src\presentation\components\procurement\ProcurementTrendAnalysis.tsx","ProcurementTrendAnalysis.tsx","0","534"
"src\presentation\components\procurement\BudgetAlertManagement.tsx","BudgetAlertManagement.tsx","0","472"
"src\presentation\components\pricing\EnhancedPricingSummary.tsx","EnhancedPricingSummary.tsx","0","251"
"src\presentation\components\procurement\ContractManagement.tsx","ContractManagement.tsx","0","865"
"src\presentation\components\procurement\ProcurementReports.tsx","ProcurementReports.tsx","0","738"
"src\presentation\components\procurement\InventoryManagement.tsx","InventoryManagement.tsx","0","562"
"src\presentation\components\ui\layout\ActionBar.stories.tsx","ActionBar.stories.tsx","0","69"
"src\vite-env.d.ts","vite-env.d.ts","0","3"
"src\presentation\components\ui\accordion.stories.tsx","accordion.stories.tsx","0","815"
"src\presentation\components\ui\badge.stories.tsx","badge.stories.tsx","0","481"
"src\presentation\components\ui\alert-unified.tsx","alert-unified.tsx","0","326"
"src\presentation\components\shared\StatsCard.tsx","StatsCard.tsx","0","76"
"src\presentation\components\projects\ProjectTenderBadge.tsx","ProjectTenderBadge.tsx","0","323"
"src\presentation\components\projects\PhaseCard.tsx","PhaseCard.tsx","0","330"
"src\presentation\components\projects\ProjectTimelineEditor.tsx","ProjectTimelineEditor.tsx","0","735"
"src\presentation\components\projects\TenderProjectLinker.tsx","TenderProjectLinker.tsx","0","388"
"src\presentation\components\projects\PurchaseOrdersPanel.tsx","PurchaseOrdersPanel.tsx","0","345"
"src\domain\services\dualWritePricing.ts","dualWritePricing.ts","0","2"
"src\domain\services\diffService.ts","diffService.ts","0","63"
"src\domain\services\money.ts","money.ts","0","15"
"src\domain\services\snapshotService.ts","snapshotService.ts","0","2"
"src\domain\services\pricingMetrics.ts","pricingMetrics.ts","0","2"
"src\domain\repositories\interfaces.ts","interfaces.ts","0","2"
"src\application\stores\projectListStore.ts","projectListStore.ts","0","426"
"src\application\stores\documentUploadStore.ts","documentUploadStore.ts","0","495"
"src\config\Colors.stories.tsx","Colors.stories.tsx","0","100"
"src\config\Typography.stories.tsx","Typography.stories.tsx","0","139"
"src\config\Spacing.stories.tsx","Spacing.stories.tsx","0","164"
"src\presentation\components\financial\IncomeStatement.tsx","IncomeStatement.tsx","0","414"
